file_output,description,warning,sent
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/37.  Aula 19 - Controlando Fluxos com IF ELSE.mp4,"#F36 37.  Aula 19 - Controlando Fluxos com IF ELSE

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/38.  Aula 21 - Controlando Fluxos de Execução com WHEN.mp4,"#F37 38.  Aula 21 - Controlando Fluxos de Execução com WHEN

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/39.  Aula 22 - Conceitos sobre Laços de Repetição.mp4,"#F38 39.  Aula 22 - Conceitos sobre Laços de Repetição

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/40.  Aula 23 - Laços de Repetição com FOR.mp4,"#F39 40.  Aula 23 - Laços de Repetição com FOR

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/41.  Aula 24 - Laços de Repetição com WHILE.mp4,"#F40 41.  Aula 24 - Laços de Repetição com WHILE

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/42.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 01.mp4,"#F41 42.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 01

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/43.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 02.mp4,"#F42 43.  Aplicação para WHILE - Conversão de números  Binário para Decimal  Parte 02

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/44.  Aula 25 - Laços de Repetição com DO WHILE.mp4,"#F43 44.  Aula 25 - Laços de Repetição com DO WHILE

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/45. Contextualização do que iremos estudar nessa seção sobre Arrays em Kotlin..mp4,"#F44 45. Contextualização do que iremos estudar nessa seção sobre Arrays em Kotlin.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/46. Array - Criação de um Array vazio  do Tipo String..mp4,"#F45 46. Array - Criação de um Array vazio  do Tipo String.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
