duration,duration_seconds,file_size,format_name,total_bitrate,video_bitrate,video_codec,audio_codec,is_avc,video_profile,video_resolution_height,video_resolution_width,path_file,file_path_folder,file_name,resolution,video_resolution_to_change,subfolder_n1
00:14:48.11,888.117007,222865647,"mov,mp4,m4a,3gp,3g2,mj2",2007534,1870879,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/23. Aula 11 - Métodos úteis para uso com Strings.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,23. Aula 11 - Métodos úteis para uso com Strings.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:12:15.16,735.167007,207340820,"mov,mp4,m4a,3gp,3g2,mj2",2256258,2119569,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/24. Aula 12 - Declarando Byte Int Short Long.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,24. Aula 12 - Declarando Byte Int Short Long.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:08:11.24,491.240998,146092843,"mov,mp4,m4a,3gp,3g2,mj2",2379163,2242496,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/25. Aula 13 - Declarando Float Double.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,25. Aula 13 - Declarando Float Double.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:10:21.62,621.620998,125807250,"mov,mp4,m4a,3gp,3g2,mj2",1619086,1482440,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/26. Dica do Professor - Formatação da dados numéricos em Kotlin..mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,26. Dica do Professor - Formatação da dados numéricos em Kotlin..mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:17:43.07,1063.079002,225312897,"mov,mp4,m4a,3gp,3g2,mj2",1695549,1558806,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/27. Exercício de programação em Kotlin - Calcular a área de um Triângulo.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,27. Exercício de programação em Kotlin - Calcular a área de um Triângulo.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:20:34.97,1234.976009,292292944,"mov,mp4,m4a,3gp,3g2,mj2",1893432,1756776,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/28. Exercício de programação em Kotlin - Cálculo da média ponderada.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,28. Exercício de programação em Kotlin - Cálculo da média ponderada.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:18:10.99,1090.99,242425290,"mov,mp4,m4a,3gp,3g2,mj2",1777653,1640933,h264,aac,1,Main,720,1280,"/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/29. Exercício de programação em Kotlin - Converter pés em polegadas, jardas e milhas.mp4",/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,"29. Exercício de programação em Kotlin - Converter pés em polegadas, jardas e milhas.mp4",1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:11:37.24,697.249002,170641027,"mov,mp4,m4a,3gp,3g2,mj2",1957877,1821225,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/30. Aula 14 - Tipos de Operadores Aritméticos.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,30. Aula 14 - Tipos de Operadores Aritméticos.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:17:38.48,1058.481995,300442784,"mov,mp4,m4a,3gp,3g2,mj2",2270744,2134011,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/31. Aula 15 - Tipos de Operadores Relacionais ou Comparativos.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,31. Aula 15 - Tipos de Operadores Relacionais ou Comparativos.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:11:16.58,676.582993,203048518,"mov,mp4,m4a,3gp,3g2,mj2",2400870,2264234,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/32. Aula 16 - Tipos de Operadores Lógicos.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,32. Aula 16 - Tipos de Operadores Lógicos.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
00:03:51.61,231.619002,52120032,"mov,mp4,m4a,3gp,3g2,mj2",1800198,1663593,h264,aac,1,Main,720,1280,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/33. Dica do Professor - Tabela verdade para operadores Lógicos AND OR e NOT &&  !=.mp4,/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira,33. Dica do Professor - Tabela verdade para operadores Lógicos AND OR e NOT &&  !=.mp4,1280x720,,Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira
